"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-16","21-084","PHI","@","BOS","L (-18)","0","1:27","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA
"2","2","2","2018-10-18","21-086","PHI","","CHI","W (+19)","0","7:45","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-2",NA
"3","3","3","2018-10-20","21-088","PHI","","ORL","W (+1)","0","6:30","0","0","","0","0","","0","0","","0","1","1","0","1","0","0","2","0","0.5","-1",NA
"4","4","","2018-10-23","21-091","PHI","@","DET","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"5","5","4","2018-10-24","21-092","PHI","@","MIL","L (-15)","0","6:04","1","2",".500","0","1",".000","0","0","","0","1","1","0","0","0","0","1","2","0.9","+3",NA
"6","6","","2018-10-27","21-095","PHI","","CHO","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"7","7","5","2018-10-29","21-097","PHI","","ATL","W (+21)","0","4:35","1","2",".500","0","1",".000","0","0","","0","2","2","0","0","0","0","0","2","1.6","+1",NA
"8","8","","2018-10-30","21-098","PHI","@","TOR","L (-17)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9","9","","2018-11-01","21-100","PHI","","LAC","W (+9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","","2018-11-03","21-102","PHI","","DET","W (+10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"11","11","6","2018-11-04","21-103","PHI","@","BRK","L (-25)","0","3:27","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","1.0","-2",NA
"12","12","","2018-11-07","21-106","PHI","@","IND","W (+6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","13","","2018-11-09","21-108","PHI","","CHO","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","14","7","2018-11-10","21-109","PHI","@","MEM","L (-6)","0","22:53","4","8",".500","3","7",".429","1","2",".500","1","3","4","2","2","0","2","1","12","10.2","+2",NA
"15","15","8","2018-11-12","21-111","PHI","@","MIA","W (+10)","0","22:25","5","9",".556","3","6",".500","3","3","1.000","1","3","4","0","1","0","0","5","16","12.3","+7",NA
"16","16","9","2018-11-14","21-113","PHI","@","ORL","L (-5)","0","15:05","3","7",".429","2","2","1.000","0","0","","0","3","3","1","1","0","0","0","8","6.9","+5",NA
"17","17","10","2018-11-16","21-115","PHI","","UTA","W (+6)","0","10:30","1","1","1.000","0","0","","0","0","","1","2","3","1","0","0","0","1","2","3.3","-6",NA
"18","18","11","2018-11-17","21-116","PHI","@","CHO","W (+3)","0","15:47","1","4",".250","0","2",".000","1","2",".500","1","3","4","3","0","0","0","1","3","3.5","0",NA
"19","19","12","2018-11-19","21-118","PHI","","PHO","W (+5)","0","15:43","1","5",".200","0","3",".000","0","0","","1","2","3","4","0","0","2","1","2","0.6","+7",NA
"20","20","13","2018-11-21","21-120","PHI","","NOP","W (+1)","0","4:51","1","4",".250","0","2",".000","0","0","","0","0","0","1","1","0","0","2","2","0.5","-7",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","","2018-11-23","21-122","PHI","","CLE","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"23","22","14","2018-11-25","21-124","PHI","@","BRK","W (+2)","0","7:12","1","4",".250","0","2",".000","0","0","","0","1","1","0","1","0","0","1","2","0.5","-10",NA
