"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-16","23-315","BOS","","PHI","W (+18)","0","1:27","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","+2",NA
"2","2","","2018-10-19","23-318","BOS","@","TOR","L (-12)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"3","3","2","2018-10-20","23-319","BOS","@","NYK","W (+2)","0","2:18","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+1",NA
"4","4","3","2018-10-22","23-321","BOS","","ORL","L (-3)","0","6:53","1","2",".500","0","1",".000","0","0","","1","0","1","0","0","0","0","0","2","1.7","+5",NA
"5","5","4","2018-10-25","23-324","BOS","@","OKC","W (+6)","0","8:27","0","2",".000","0","1",".000","1","2",".500","1","0","1","0","0","0","0","2","1","-0.9","+5",NA
"6","6","5","2018-10-27","23-326","BOS","@","DET","W (+20)","0","5:15","0","2",".000","0","1",".000","0","2",".000","0","0","0","0","0","0","0","1","0","-2.6","-9",NA
"7","7","","2018-10-30","23-329","BOS","","DET","W (+3)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"8","8","6","2018-11-01","23-331","BOS","","MIL","W (+4)","1","22:28","4","6",".667","2","4",".500","0","0","","0","5","5","0","2","0","0","4","10","9.3","+9",NA
"9","9","","2018-11-03","23-333","BOS","@","IND","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","7","2018-11-05","23-335","BOS","@","DEN","L (-8)","0","3:17","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-8",NA
"11","11","8","2018-11-08","23-338","BOS","@","PHO","W (+7)","0","7:24","1","2",".500","0","1",".000","1","1","1.000","0","1","1","0","0","1","0","0","3","3.0","+2",NA
"12","12","9","2018-11-09","23-339","BOS","@","UTA","L (-8)","0","8:06","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","1","3","1.6","-6",NA
"13","13","","2018-11-11","23-341","BOS","@","POR","L (-6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","14","10","2018-11-14","23-344","BOS","","CHI","W (+29)","0","21:21","2","2","1.000","0","0","","0","0","","1","1","2","0","0","0","2","0","4","2.4","+23",NA
"15","15","","2018-11-16","23-346","BOS","","TOR","W (+7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","16","11","2018-11-17","23-347","BOS","","UTA","L (-12)","0","12:00","1","3",".333","0","2",".000","0","0","","1","1","2","0","1","0","0","0","2","2.3","+3",NA
"17","17","","2018-11-19","23-349","BOS","@","CHO","L (-5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"18","18","","2018-11-21","23-351","BOS","","NYK","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"19","19","12","2018-11-23","23-353","BOS","@","ATL","W (+18)","0","23:32","3","11",".273","1","5",".200","1","2",".500","0","5","5","0","0","0","4","1","8","-1.8","+11",NA
"20","20","13","2018-11-24","23-354","BOS","@","DAL","L (-9)","0","18:33","0","0","","0","0","","0","0","","1","2","3","1","0","0","0","0","0","2.0","0",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","14","2018-11-26","23-356","BOS","@","NOP","W (+17)","0","5:31","1","2",".500","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.0","-2",NA
"23","22","15","2018-11-30","23-360","BOS","","CLE","W (+33)","0","14:38","2","4",".500","1","1","1.000","0","0","","0","2","2","0","0","0","0","0","5","3.6","+11",NA
"24","23","16","2018-12-01","23-361","BOS","@","MIN","W (+9)","0","7:47","0","2",".000","0","1",".000","0","0","","1","1","2","0","0","0","0","0","0","-0.4","0",NA
"25","24","17","2018-12-06","24-001","BOS","","NYK","W (+28)","0","2:43","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","0","3","2.0","+5",NA
"26","25","18","2018-12-08","24-003","BOS","@","CHI","W (+56)","0","14:25","5","9",".556","3","6",".500","0","0","","1","3","4","1","0","0","0","2","13","10.2","+23",NA
"27","26","19","2018-12-10","24-005","BOS","","NOP","W (+13)","0","21:39","4","10",".400","1","6",".167","2","2","1.000","1","5","6","0","0","0","0","1","11","7.4","+6",NA
"28","27","20","2018-12-12","24-007","BOS","@","WAS","W (+5)","0","16:37","2","8",".250","1","7",".143","0","0","","0","2","2","0","0","0","1","1","5","-0.6","-4",NA
"29","28","21","2018-12-14","24-009","BOS","","ATL","W (+21)","0","12:00","1","4",".250","0","1",".000","2","2","1.000","1","1","2","0","0","0","0","0","4","2.6","-5",NA
"30","29","","2018-12-15","24-010","BOS","@","DET","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"31","30","22","2018-12-19","24-014","BOS","","PHO","L (-8)","0","12:30","0","1",".000","0","1",".000","0","0","","1","0","1","2","0","0","0","1","0","1.0","-13",NA
"32","31","23","2018-12-21","24-016","BOS","","MIL","L (-13)","1","16:40","3","6",".500","1","3",".333","3","4",".750","2","1","3","0","1","0","1","3","10","7.1","-8",NA
"33","32","24","2018-12-23","24-018","BOS","","CHO","W (+16)","0","12:00","2","4",".500","1","3",".333","0","0","","0","2","2","1","0","0","1","2","5","2.5","-11",NA
"34","33","","2018-12-25","24-020","BOS","","PHI","W (+7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"35","34","25","2018-12-27","24-022","BOS","@","HOU","L (-14)","0","4:38","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","1","3","2.3","+1",NA
"36","35","26","2018-12-29","24-024","BOS","@","MEM","W (+9)","0","4:45","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-5",NA
"37","36","","2018-12-31","24-026","BOS","@","SAS","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"38","37","27","2019-01-02","24-028","BOS","","MIN","W (+13)","0","18:23","2","4",".500","1","2",".500","0","0","","1","2","3","1","1","0","0","1","5","5.6","+7",NA
"39","38","28","2019-01-04","24-030","BOS","","DAL","W (+21)","0","16:47","3","5",".600","1","3",".333","1","2",".500","1","1","2","0","0","0","2","3","8","3.1","+18",NA
"40","39","29","2019-01-07","24-033","BOS","","BRK","W (+21)","0","5:36","2","2","1.000","0","0","","0","0","","0","1","1","2","0","1","0","1","4","5.4","+1",NA
"41","40","30","2019-01-09","24-035","BOS","","IND","W (+27)","0","14:00","1","5",".200","0","3",".000","0","0","","0","1","1","1","1","0","0","0","2","0.9","+7",NA
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","31","2019-01-10","24-036","BOS","@","MIA","L (-16)","0","5:31","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","0","0","1.0","-8",NA
"44","42","","2019-01-12","24-038","BOS","@","ORL","L (-2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"45","43","32","2019-01-14","24-040","BOS","@","BRK","L (-7)","0","11:12","0","3",".000","0","2",".000","0","0","","1","2","3","1","0","0","0","0","0","-0.1","-6",NA
"46","44","","2019-01-16","24-042","BOS","","TOR","W (+9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"47","45","","2019-01-18","24-044","BOS","","MEM","W (+6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"48","46","33","2019-01-19","24-045","BOS","@","ATL","W (+8)","0","11:30","1","1","1.000","0","0","","1","1","1.000","0","0","0","0","0","0","0","0","3","2.7","+11",NA
"49","47","34","2019-01-21","24-047","BOS","","MIA","W (+8)","0","5:47","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","1","0","3","1.7","-7",NA
"50","48","35","2019-01-23","24-049","BOS","","CLE","W (+20)","0","2:43","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+3",NA
